Physical Slot Name (Shelf Face Plate),Logical Slot Name (EMS/CLI),Slot Number,Barcode Slot Position,Front/Rear,Traffic Bearing (Y/N),Slot Orientation (Vertical/Horizontal/Inverted),Shelf Template Name,Rack Template Name,Description,Model,Height,Width,Depth,Dim to Base,Dim to Left,Dim to Front,Dim to Top,Rel Order,Parent Card Template Name,Subclass
61 PIM A1,,61,H01,Front,N,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT PIM-40V to -75V DC 60Ax6/120Ax3 (Breakered),PIM-40V to -75V DC 60Ax6/120Ax3 (Breakered),4.41,9.57,16.42,16,0,0,0,0,,LGHTWV
62 PIM B1,,62,H02,Front,N,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT PIM-40V to -75V DC 60Ax6/120Ax3 (Breakered),PIM-40V to -75V DC 60Ax6/120Ax3 (Breakered),4.41,9.57,16.42,16,9.57,0,0,1,,LGHTWV
51 FAN,,51,G01,Front,N,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Shelf Cooling FAN,Shelf Cooling FAN,2.4,9.69,16.34,14.5,0,0,4.41,2,,LGHTWV
52 FAN,,52,G02,Front,N,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Shelf Cooling FAN,Shelf Cooling FAN,2.4,9.69,16.34,14.5,9.69,0,4.41,3,,LGHTWV
40 AP,,40,F01,Front,N,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Access Panel,Access Panel,1.54,19.57,16.3,13,0,0,6.84,4,,LGHTWV
1,,1,E01,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,0,0,8.38,6,,LGHTWV
2,,2,E02,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,1.42,0,8.38,7,,LGHTWV
3,,3,E03,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,2.84,0,8.38,8,,LGHTWV
4,,4,E04,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,4.26,0,8.38,9,,LGHTWV
5,,5,E05,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,5.68,0,8.38,10,,LGHTWV
6,,6,E06,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,7.1,0,8.38,11,,LGHTWV
41 CTM,CTM-A,41,E07,Front,N,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Control Timing Module-A,Control Timing Module-A,13.82,0.91,15,5,8.52,0,8.38,12,,LGHTWV
42 CTM,CTM-B,42,E08,Front,N,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Control Timing Module-B,Control Timing Module-B,13.82,0.91,15,5,9.43,0,8.38,13,,LGHTWV
7,,7,E09,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,10.34,0,8.38,14,,LGHTWV
8,,8,E10,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,11.76,0,8.38,15,,LGHTWV
9,,9,E11,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,13.18,0,8.38,16,,LGHTWV
10,,10,E12,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,14.6,0,8.38,17,,LGHTWV
11,,11,E13,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,16.02,0,8.38,18,,LGHTWV
12,,12,E14,Front,Y,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Circuit Packs,Circuit Packs,13.82,1.42,15,5,17.44,0,8.38,19,,LGHTWV
Upper Air Filter,,65,,Front,N,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Shelf Air Filter,Shelf Air Filter,0.32,19.25,13.54,0,0,0,23.32,26,,LGHTWV
31,,31,D02,Front,Y,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Switch Module SM 500,Switch Module SM 500,0.98,11.34,16.18,3,4.21,0,25,20,,LGHTWV
32,,32,C02,Front,Y,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Switch Module SM 500,Switch Module SM 500,0.98,11.34,16.18,2,4.21,0,25.98,21,,LGHTWV
33,,33,B02,Front,Y,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Switch Module SM 500,Switch Module SM 500,0.98,11.34,16.18,1,4.21,0,26.96,22,,LGHTWV
34,,34,A02,Front,Y,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT Switch Module SM 500,Switch Module SM 500,0.98,11.34,16.18,0,4.21,0,27.94,23,,LGHTWV
53 FAN,,53,A01,Front,N,Horizontal,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT SM Fan Module,SM Fan Module,4.33,4.21,16.26,0,0,0,25,24,,LGHTWV
SM Air Filter,,66,,Front,N,Vertical,CI / 6500 T SERIES 12 SLOT (NTK703HA),,12 SLOT SM Air Filter,SM Air Filter,4.13,0.32,8.43,0,15.55,0,25,25,,LGHTWV
