Physical Slot Name (Shelf Face Plate),Logical Slot Name (EMS/CLI),Slot Number,Multi Slot Indicator,Front/Rear,Card Template Name,Default,Shelf Template Name,Rack Template Name,Parent Card Template Name
PWR TRAY 0,PT0,0,,Front,CS / DC Power Tray (NCS4K-DC-PEM=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
PWR TRAY 1,PT1,1,,Front,CS / DC Power Tray (NCS4K-DC-PEM=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
Craft Panel,CI0,0,,Front,CS / Craft Interface (NCS4K-CRAFT=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
ECU,EC0,0,,Front,CS / External Connection Unit (NCS4K-ECU=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
FT0,FT0,0,,Front,CS / Fan Tray (NCS4K-FTA=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
RP00,RP0,0,,Front,CS / Route Processor (NCS4K-RP=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
RP01,RP1,1,,Front,CS / Route Processor (NCS4K-RP=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
FC00,FC00,0,,Front,CS / SWITCH FABRIC SINGLE CHASSIS 400G (NCS4009-FC2-S=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
FC01,FC01,1,,Front,CS / SWITCH FABRIC SINGLE CHASSIS 400G (NCS4009-FC2-S=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
FC02,FC02,2,,Front,CS / SWITCH FABRIC SINGLE CHASSIS 400G (NCS4009-FC2-S=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
FC03,FC03,3,,Front,CS / SWITCH FABRIC SINGLE CHASSIS 400G (NCS4009-FC2-S=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC00,LC00,0,,Front,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC01,LC01,1,,Front,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC02,LC02,2,,Front,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC03,LC03,3,,Front,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC04,LC04,4,,Front,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC05,LC05,5,,Front,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC06,LC06,6,,Front,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC07,LC07,7,,Front,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC08,LC08,8,,Front,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC00,LC00,0,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC01,LC01,1,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC02,LC02,2,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC03,LC03,3,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC04,LC04,4,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC05,LC05,5,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC06,LC06,6,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC07,LC07,7,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
LC08,LC08,8,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
RP00,RP0,0,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
RP01,RP1,1,,Front,CS / NCS4K FILLER PANEL (NCS4K-BLANK=),N,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,
0,0,0,,Front,CS / 100Gbps Multi-Rate QSFP28 LR4 (ONS-QSFP28-LR4=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
1,1,1,,Front,CS / 100Gbps Multi-Rate QSFP28 LR4 (ONS-QSFP28-LR4=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
5,5,5,,Front,CS / 100Gbps Multi-Rate QSFP28 LR4 (ONS-QSFP28-LR4=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
6,6,6,,Front,CS / 100Gbps Multi-Rate QSFP28 LR4 (ONS-QSFP28-LR4=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
10,10,10,,Front,CS / 50G/100G/200G/250G CFP2 WDM C-Band Tunable (ONS-CFP2-WDM=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
11,11,11,,Front,CS / 50G/100G/200G/250G CFP2 WDM C-Band Tunable (ONS-CFP2-WDM=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
0,0,0,,Front,CS / 4x10Gbps MR QSFP+ LR (ONS-QSFP-4X10-MLR=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
1,1,1,,Front,CS / 4x10Gbps MR QSFP+ LR (ONS-QSFP-4X10-MLR=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
2,2,2,,Front,CS / 4x10Gbps MR QSFP+ LR (ONS-QSFP-4X10-MLR=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
3,3,3,,Front,CS / 4x10Gbps MR QSFP+ LR (ONS-QSFP-4X10-MLR=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
4,4,4,,Front,CS / 4x10Gbps MR QSFP+ LR (ONS-QSFP-4X10-MLR=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
5,5,5,,Front,CS / 4x10Gbps MR QSFP+ LR (ONS-QSFP-4X10-MLR=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
6,6,6,,Front,CS / 4x10Gbps MR QSFP+ LR (ONS-QSFP-4X10-MLR=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
7,7,7,,Front,CS / 4x10Gbps MR QSFP+ LR (ONS-QSFP-4X10-MLR=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
8,8,8,,Front,CS / 4x10Gbps MR QSFP+ LR (ONS-QSFP-4X10-MLR=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
9,9,9,,Front,CS / 4x10Gbps MR QSFP+ LR (ONS-QSFP-4X10-MLR=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
0,0,0,,Front,"CS / 4x10GBASE-LR QSFP+, 1310 nm, SMF  (QSFP-4X10G-LR-S=)",N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
1,1,1,,Front,"CS / 4x10GBASE-LR QSFP+, 1310 nm, SMF  (QSFP-4X10G-LR-S=)",N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
2,2,2,,Front,"CS / 4x10GBASE-LR QSFP+, 1310 nm, SMF  (QSFP-4X10G-LR-S=)",N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
3,3,3,,Front,"CS / 4x10GBASE-LR QSFP+, 1310 nm, SMF  (QSFP-4X10G-LR-S=)",N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
4,4,4,,Front,"CS / 4x10GBASE-LR QSFP+, 1310 nm, SMF  (QSFP-4X10G-LR-S=)",N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
5,5,5,,Front,"CS / 4x10GBASE-LR QSFP+, 1310 nm, SMF  (QSFP-4X10G-LR-S=)",N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
6,6,6,,Front,"CS / 4x10GBASE-LR QSFP+, 1310 nm, SMF  (QSFP-4X10G-LR-S=)",N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
7,7,7,,Front,"CS / 4x10GBASE-LR QSFP+, 1310 nm, SMF  (QSFP-4X10G-LR-S=)",N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
8,8,8,,Front,"CS / 4x10GBASE-LR QSFP+, 1310 nm, SMF  (QSFP-4X10G-LR-S=)",N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
9,9,9,,Front,"CS / 4x10GBASE-LR QSFP+, 1310 nm, SMF  (QSFP-4X10G-LR-S=)",N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
0,0,0,,Front,CS / 40GBASE-LR4 QSFP+ Module for SMF (QSFP-40G-LR4=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
1,1,1,,Front,CS / 40GBASE-LR4 QSFP+ Module for SMF (QSFP-40G-LR4=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
2,2,2,,Front,CS / 40GBASE-LR4 QSFP+ Module for SMF (QSFP-40G-LR4=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
3,3,3,,Front,CS / 40GBASE-LR4 QSFP+ Module for SMF (QSFP-40G-LR4=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
4,4,4,,Front,CS / 40GBASE-LR4 QSFP+ Module for SMF (QSFP-40G-LR4=),N,,,CS / 400G WDM OTN 10x QSFP+ 2x CFP2 (NCS4K-4H-OPW-QC2=)
