Physical Slot Name (Shelf Face Plate),Logical Slot Name (EMS/CLI),Slot Number,Barcode Slot Position,Front/Rear,Plane,Traffic Bearing (Y/N),Slot Orientation (Vertical/Horizontal/Inverted),Shelf Template Name,Rack Template Name,Description,Model,Height,Width,Depth,Dim to Base,Dim to Left,Dim to Front,Dim to Top,Rel Order,Parent Card Template Name,Subclass
PWR TRAY 0,PT0,0,F01,Front,,N,Horizontal,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,Power tray / PEM,Power tray / PEM,2,16,6,32,1.25,0,0,0,,LGHTWV
PWR TRAY 1,PT1,1,E01,Front,,N,Horizontal,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,Power tray / PEM,Power tray / PEM,2,16,6,30,1.25,0,2,1,,LGHTWV
Craft Panel,CI0,0,D01,Front,,N,Horizontal,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Craft Interface,NCS 4009 Craft Interface,2,16,1,26,1.25,0,6.6, ,,LGHTWV
ECU,EC0,0,D01,Front,,N,Horizontal,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 External Connection Unit,NCS 4009 External Connection Unit,2,16,17.7,26,1.25,1,4.7,27,,LGHTWV
FT0,FT0,0,C01,Front,,N,Horizontal,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Top Fan Tray ,NCS 4009 Top Fan Tray ,1,16,17.7,26,1.25,0,8.6,26,,LGHTWV
LC00,LC00,0,B02,Front,1,Y,Vertical,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Line card slot,NCS 4009 Line card slot,11.1,1.6,17.7,15,2.5,0,9.8,14,,LGHTWV
LC01,LC01,1,B03,Front,1,Y,Vertical,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Line card slot,NCS 4009 Line card slot,11.1,1.6,17.7,15,4,0,9.8,15,,LGHTWV
LC02,LC02,2,B04,Front,1,Y,Vertical,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Line card slot,NCS 4009 Line card slot,11.1,1.6,17.7,15,5.5,0,9.8,16,,LGHTWV
LC03,LC03,3,B05,Front,1,Y,Vertical,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Line card slot,NCS 4009 Line card slot,11.1,1.6,17.7,15,7,0,9.8,17,,LGHTWV
LC04,LC04,4,B06,Front,1,Y,Vertical,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Line card slot,NCS 4009 Line card slot,11.1,1.6,17.7,15,8.5,0,9.8,20,,LGHTWV
LC05,LC05,5,B07,Front,2,Y,Vertical,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Line card slot,NCS 4009 Line card slot,11.1,1.6,17.7,15,10,0,9.8,21,,LGHTWV
LC06,LC06,6,B08,Front,2,Y,Vertical,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Line card slot,NCS 4009 Line card slot,11.1,1.6,17.7,15,11.5,0,9.8,22,,LGHTWV
LC07,LC07,7,B09,Front,2,Y,Vertical,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Line card slot,NCS 4009 Line card slot,11.1,1.6,17.7,15,13,0,9.8,23,,LGHTWV
LC08,LC08,8,B10,Front,2,Y,Vertical,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Line card slot,NCS 4009 Line card slot,11.1,1.6,17.7,3,14.5,0,9.8,2,,LGHTWV
RP00,RP0,0,B01,Front,,N,Vertical,CS / NCS 4009 SHELF (NCS4009-SA-DC=),,NCS 4009 Route Processor slot,NCS 4009 Route Processor slot,11.1,1.6,17.7,15,1,0,9.8,24,,LGHTWV
